0,1000,0.000535228
0,1100,0.000673057
0,1210,0.00104547
0,1331,0.000968929
0,1464,0.00109916
0,1610,0.00137644
0,1771,0.00151042
0,1948,0.00186974
0,2142,0.00213724
0,2356,0.00309335
0,2591,0.00342825
0,2850,0.00389116
0,3135,0.00455338
0,3448,0.00545677
0,3792,0.00640647
0,4171,0.0078382
0,4588,0.00974769
0,5046,0.0121762
0,5550,0.0143808
0,6105,0.017496
0,6715,0.0219456
0,7386,0.0275853
0,8124,0.033426
0,8936,0.0423302
0,9829,0.0530383
0,10811,0.0729431
0,11892,0.0967517
0,13081,0.106066
0,14389,0.145388
0,15827,0.170388
0,17409,0.221528
0,19149,0.273917
0,21063,0.327811
0,23169,0.638929
0,25485,0.972155
0,28033,0.711642
0,30836,0.725155
0,33919,0.875621
0,37310,1.08041
0,41041,1.31373
0,45145,1.61691
0,49659,1.93468
0,54624,2.4081
0,60086,2.91453
0,66094,3.59733
0,72703,4.30063
0,79973,5.24567
0,87970,6.33816
0,96767,7.75062
0,106443,9.37104
0,117087,11.4355
1,1000,0.000422454
1,1100,0.000482921
1,1210,0.000581929
1,1331,0.00084066
1,1464,0.000882964
1,1610,0.00117012
1,1771,0.0014178
1,1948,0.00153022
1,2142,0.0020446
1,2356,0.00245477
1,2591,0.00299523
1,2850,0.00317081
1,3135,0.00370557
1,3448,0.00468778
1,3792,0.00541226
1,4171,0.00657288
1,4588,0.00910816
1,5046,0.00973666
1,5550,0.0111744
1,6105,0.0135385
1,6715,0.0165788
1,7386,0.0208622
1,8124,0.0243015
1,8936,0.029265
1,9829,0.0357598
1,10811,0.0430915
1,11892,0.0511132
1,13081,0.0621
1,14389,0.0756166
1,15827,0.0916329
1,17409,0.110002
1,19149,0.132159
1,21063,0.160431
1,23169,0.194227
1,25485,0.233796
1,28033,0.286542
1,30836,0.346193
1,33919,0.417888
1,37310,0.503525
1,41041,0.608033
1,45145,0.776046
1,49659,0.896269
1,54624,1.07762
1,60086,1.2995
1,66094,1.62133
1,72703,1.91684
1,79973,2.32229
1,87970,2.85534
1,96767,3.42874
1,106443,4.14047
1,117087,4.99681
2,1000,4.6912e-05
2,1100,5.1618e-05
2,1210,5.9736e-05
2,1331,6.2024e-05
2,1464,6.6936e-05
2,1610,7.3879e-05
2,1771,8.3093e-05
2,1948,9.0339e-05
2,2142,0.00010006
2,2356,0.000109453
2,2591,0.000122044
2,2850,0.000133363
2,3135,0.000144901
2,3448,0.000158827
2,3792,0.000175937
2,4171,0.000192219
2,4588,0.000215699
2,5046,0.000233858
2,5550,0.000263296
2,6105,0.000304973
2,6715,0.000314317
2,7386,0.000351374
2,8124,0.000379862
2,8936,0.00042764
2,9829,0.000457179
2,10811,0.000571424
2,11892,0.000772802
2,13081,0.000843693
2,14389,0.000947089
2,15827,0.00104862
2,17409,0.00114586
2,19149,0.00105228
2,21063,0.00115697
2,23169,0.001532
2,25485,0.00143098
2,28033,0.00153101
2,30836,0.00154362
2,33919,0.00178651
2,37310,0.00194197
2,41041,0.00246736
2,45145,0.00262443
2,49659,0.00360925
2,54624,0.0041923
2,60086,0.00423345
2,66094,0.00372446
2,72703,0.00449566
2,79973,0.00500901
2,87970,0.00733339
2,96767,0.00759745
2,106443,0.00639933
2,117087,0.00744941
3,1000,9.3735e-05
3,1100,0.000101888
3,1210,0.000113183
3,1331,0.000125363
3,1464,0.000137707
3,1610,0.000150103
3,1771,0.00016579
3,1948,0.000189415
3,2142,0.00020276
3,2356,0.000223917
3,2591,0.000247387
3,2850,0.000269645
3,3135,0.000305769
3,3448,0.000330104
3,3792,0.000359115
3,4171,0.000403182
3,4588,0.000436294
3,5046,0.000475337
3,5550,0.000546152
3,6105,0.000599066
3,6715,0.000653862
3,7386,0.000705044
3,8124,0.00078605
3,8936,0.000853168
3,9829,0.000937008
3,10811,0.00103654
3,11892,0.00114321
3,13081,0.00123396
3,14389,0.00138289
3,15827,0.00152321
3,17409,0.00168149
3,19149,0.0018582
3,21063,0.00216898
3,23169,0.0023637
3,25485,0.00241234
3,28033,0.00264186
3,30836,0.00286511
3,33919,0.00323745
3,37310,0.00350874
3,41041,0.00387126
3,45145,0.00447848
3,49659,0.00465528
3,54624,0.00520421
3,60086,0.00569737
3,66094,0.00627155
3,72703,0.00730166
3,79973,0.00757244
3,87970,0.00815648
3,96767,0.00925032
3,106443,0.0100834
3,117087,0.0110176
